datetime,water_discharge
2019-05-11,55011.458333333336
2019-05-12,48445.833333333336
2019-05-13,43670.833333333336
2019-05-14,38643.75
2019-05-15,36939.583333333336
2019-05-16,35626.041666666664
2019-05-17,40428.125
2019-05-18,39763.541666666664
2019-05-19,43547.916666666664
2019-05-20,44349.47368421053
2019-05-21,40340.86021505376
2019-05-22,40639.36170212766
2019-05-23,48443.15789473684
2019-05-24,49338.94736842105
2019-05-25,46735.78947368421
2019-05-26,40464.583333333336
2019-05-27,37965.625
2019-05-28,42643.75
2019-05-29,53241.666666666664
2019-05-30,61738.541666666664
2019-05-31,62317.708333333336
2019-06-01,53679.166666666664
2019-06-02,47406.25
