f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.0001814399781347294,5.0022782773138925e7,3.4383188149225974e8,0.0,109.77496775913319,4.662755055906702e6,6.221486169458657e7,4.2757583930803376e8,D000562,Normal
-0.0001814399781347294,5.0022782763096206e7,3.438318814265249e8,0.0,109.77496823141158,4.662755059909079e6,6.22148616805482e7,4.2757583921580505e8,D000563,Normal
-0.00018143997902984936,5.002278277184245e7,3.4383188131966615e8,0.0,109.77496772549001,4.662755055641595e6,6.221486169277432e7,4.275758387087418e8,D000564,Normal
-0.00018143997992496928,5.002278275500507e7,3.438318810512359e8,0.0,109.77496836335371,4.66275506101698e6,6.2214861669237934e7,4.2757583806006134e8,D000565,Normal
-0.00018143997723960923,4.563461726960416e7,3.141451394505352e8,0.0,323.0013215641616,6.5461182508309055e6,5.608082384171161e7,3.859255952374879e8,D000566,Normal
-0.0001814399790298474,4.365213704441701e7,2.991968156052449e8,0.0,60.126765263268894,4.846313528574906e6,5.450200849245001e7,3.735685909425994e8,D000567,Normal
-0.0001814399790298474,4.365213703269387e7,2.9919681553288066e8,0.0,60.126765308319996,4.84631352976045e6,5.4502008477792926e7,3.7356859085211986e8,D000568,Normal
-0.0001814399790298474,4.365213698623607e7,2.991968152440292e8,0.0,60.12676548517467,4.846313534465717e6,5.450200841971712e7,3.7356859049102706e8,D000569,Normal
-0.0001814399790298474,4.365213702722018e7,2.9919681549902725e8,0.0,60.126765329192644,4.846313530313108e6,5.450200847094996e7,3.7356859080979645e8,D000570,Normal
-0.00018143997813472733,4.365213694053431e7,2.9919681576537544e8,0.0,60.12676572383624,4.846313540849504e6,5.450200836258916e7,3.7356859149501646e8,D000571,Normal
-0.00018143997902984676,4.167346214170837e7,2.866881482537825e8,0.0,67.72756043483697,5.050384273173366e6,5.202866489602272e7,3.5793275694623375e8,D000572,Normal
-0.00018143997813472733,4.3652136761309564e7,2.9919681451108533e8,0.0,60.126766486583016,4.846313561175071e6,5.450200813855797e7,3.735685899271459e8,D000573,Normal
-0.00018143997723960638,4.16734616165852e7,2.866881457600924e8,0.0,67.7275615000415,5.0503842982980255e6,5.202866425197296e7,3.57932754894314e8,D000574,Normal
-0.00018143997723960522,4.167346083139863e7,2.8668814060114336e8,0.0,67.72756348328022,5.0503843477418665e6,5.202866332311126e7,3.579327487789511e8,D000575,Normal
-0.00018143997992496692,4.365213451694035e7,2.991967998812716e8,0.0,60.126765191026756,4.846313512209365e6,5.4502005358056985e7,3.735685711391853e8,D000576,Normal
-0.00018143997902984687,4.365213450890603e7,2.99196800097141e8,0.0,60.126765269594756,4.846313513807858e6,5.450200534801064e7,3.735685717092037e8,D000577,Normal
-0.0001814399781347268,4.365213448639322e7,2.991968001682761e8,0.0,60.12676541104845,4.846313516869799e6,5.450200531986539e7,3.735685724273623e8,D000578,Normal
-0.00018143997902984687,4.365213450556421e7,2.991968000765969e8,0.0,60.12676528237728,4.846313514139737e6,5.4502005343832366e7,3.735685716835166e8,D000579,Normal
-0.0001814399781347268,4.365213447261884e7,2.991968000799837e8,0.0,60.12676546508878,4.846313518308565e6,5.4502005302646175e7,3.735685723169882e8,D000580,Normal
-0.00018143997813472665,4.167346290524344e7,2.866881535371159e8,0.0,67.72755738134467,5.0503841907914365e6,5.202866585042344e7,3.579327641820912e8,D000581,Normal
-0.00018143997902984684,4.36521344475388e7,2.991967996720521e8,0.0,60.12676550442029,4.84631351983028e6,5.450200527129489e7,3.735685715068612e8,D000582,Normal
-0.00018143997992496665,4.167346180970439e7,2.866881457671188e8,0.0,67.7275610840353,5.050384289900897e6,5.202866449336491e7,3.5793275357842565e8,D000583,Normal
-0.00018143997723960522,4.167346085735345e7,2.866881407720399e8,0.0,67.72756338171426,5.050384344995586e6,5.202866335554795e7,3.57932748992518e8,D000584,Normal
-0.00018143997992496662,4.3652134122290105e7,2.991967975747793e8,0.0,60.126765176716546,4.846313509071665e6,5.4502004886171445e7,3.7356856834880114e8,D000585,Normal
-0.00018143997992496662,4.365213411643218e7,2.991967975403607e8,0.0,60.12676519865869,4.846313509617593e6,5.4502004878845535e7,3.735685683057541e8,D000586,Normal
-0.00018143997902984651,4.3652134102985114e7,2.9919679757738596e8,0.0,60.12676530191859,4.846313511489516e6,5.450200486203239e7,3.735685689886784e8,D000587,Normal
